iter	Passed	Remaining
1518	120611	38192
1519	120690	38112
1520	120761	38030
1521	120844	37952
1522	120933	37876
1523	121001	37793
1524	121087	37715
1525	121170	37637
1526	121254	37559
1527	121348	37484
1528	121436	37407
1529	121506	37325
1530	121586	37246
1531	121664	37166
1532	121745	37087
1533	121825	37008
1534	121896	36926
1535	121986	36850
1536	122055	36767
1537	122139	36689
1538	122210	36607
1539	122284	36526
1540	122360	36445
1541	122436	36365
1542	122524	36288
1543	122607	36210
1544	122685	36130
1545	122750	36047
1546	122820	35964
1547	122907	35887
1548	122978	35805
1549	123062	35727
1550	123144	35649
1551	123222	35569
1552	123309	35492
1553	123385	35411
1554	123454	35329
1555	123546	35253
1556	123637	35177
1557	123729	35101
1558	123809	35022
1559	123886	34942
1560	123958	34860
1561	124056	34786
1562	124127	34704
1563	124208	34625
1564	124290	34547
1565	124353	34463
1566	124420	34380
1567	124509	34303
1568	124581	34222
1569	124666	34144
1570	124747	34065
1571	124839	33989
1572	124925	33911
1573	124996	33829
1574	125075	33750
1575	125150	33669
1576	125230	33590
1577	125309	33511
1578	125385	33430
1579	125458	33349
1580	125538	33270
1581	125607	33188
1582	125684	33108
1583	125755	33026
1584	125836	32947
1585	125912	32867
1586	125991	32787
1587	126061	32706
1588	126132	32624
1589	126218	32547
1590	126294	32466
1591	126380	32388
1592	126463	32310
1593	126545	32231
1594	126641	32156
1595	126726	32078
1596	126803	31998
1597	126889	31920
1598	126971	31842
1599	127051	31762
1600	127154	31689
1601	127243	31612
1602	127312	31530
1603	127390	31450
1604	127464	31369
1605	127542	31290
1606	127625	31211
1607	127706	31132
1608	127785	31052
1609	127869	30974
1610	127946	30894
1611	128038	30818
1612	128113	30737
1613	128214	30663
1614	128292	30583
1615	128377	30505
1616	128452	30425
1617	128526	30344
1618	128614	30266
1619	128695	30187
1620	128775	30108
1621	128854	30028
1622	128942	29951
1623	129019	29871
1624	129082	29788
1625	129156	29707
1626	129240	29629
1627	129319	29549
1628	129410	29472
1629	129493	29394
1630	129570	29314
1631	129646	29234
1632	129728	29155
1633	129804	29074
1634	129898	28998
1635	129962	28915
1636	130049	28838
1637	130114	28755
1638	130189	28675
1639	130270	28595
1640	130358	28518
1641	130429	28437
1642	130508	28357
1643	130592	28279
1644	130669	28199
1645	130744	28118
1646	130821	28038
1647	130900	27959
1648	130980	27879
1649	131043	27797
1650	131120	27717
1651	131204	27638
1652	131278	27558
1653	131357	27478
1654	131431	27398
1655	131506	27317
1656	131582	27237
1657	131654	27156
